"","name","formatted_address","rating","user_ratings_total","lat","lng"
"1","Pekadosburger","Morelos 7, Jesús María, 45680 El Salto, Jal., Mexico",4.8,17,20.5236775,-103.1753062
"2","Rangers BBQ","Carr. el Salto 430-B, La esperanza, 45681 El Quince, Jal., Mexico",4.6,2224,20.5433213,-103.2624358
"3","HOT-DOGS Y HAMBURGUESAS ""FERCHO""","calle lomas verdes 12,, LOMAS DEL SALTO, 45680 san francisco de la soledad el jordan, Jal., Mexico",4.6,45,20.5615861,-103.1880254
"4","NICCOS HAMBURGUESAS Y TORTAS","45680, Calle Ignacio Allende 149, Centro, El Salto, Jal., Mexico",4.5,274,20.5184787,-103.1815208
"5","Burgermeister","C. Francisco Villa 81-a, Potrero Nuevo, 45880 El Salto, Jal., Mexico",4.4,84,20.5182417,-103.1875655
"6","DANG BURGERS","Río Bolaños 131, Santa Rosa, 45693 Las Pintas, Jal., Mexico",4.4,135,20.5612202,-103.3133754
"7","Tacos Nico's","Plan de Guadalupe 65, Potrero Nuevo, 45680 El Salto, Jal., Mexico",4.3,62,20.517703,-103.1853721
"8","Gusteau'S Pizzería","C. Francisco Villa 81, Potrero Nuevo, 45680 El Salto, Jal., Mexico",4.3,16,20.5182418,-103.187562
"9","lonches y hamburguesas la guera","Piñones 941-B, 45680 Galaxia Bonito Jalisco, Jal., Mexico",4.3,44,20.4993859,-103.2007715
"10","Way to burger","Av. Concepción 6820, Centro, 45654 Fraccionamiento Real del Valle, Jal., Mexico",4.2,50,20.5422367,-103.359652
