"","name","formatted_address","rating","user_ratings_total","lat","lng"
"1","Hamburguesería Tlajo","Calle Constitución Ote. 27a, 45640 Tlajomulco de Zúñiga, Jal., Mexico",4.8,52,20.4721159,-103.4456452
"2","Hamburguesas Gamboa","Melchor Ocampo Nte. 57, Centro, 45640 Tlajomulco de Zúñiga, Jal., Mexico",4.6,27,20.4769434,-103.4486014
"3","CJ Burgers","1o. de Mayo Ote. 38b, 45640 Santa Cruz del Valle, Jal., Mexico",4.6,153,20.5470983,-103.3335969
"4","Toto Burger Street","Calle Blvd. Valle del Silicio, Nueva Galicia, La Tijera, 45645 Jal., Mexico",4.4,319,20.5764301,-103.4429518
"5","DANG BURGERS","Río Bolaños 131, Santa Rosa, 45693 Las Pintas, Jal., Mexico",4.4,135,20.5612202,-103.3133754
"6","BURGER PARK Nueva Galicia, Tlajomulco","Calle Blvd. Prol. Mariano Otero 1518, Nueva Galicia, La Tijera, 45645 Jal., Mexico",4.3,263,20.5756396,-103.4418573
"7","WALDO'S BURGER & PAPAS","Av. Puerta del Sol 93, Real del Sol, 45654 Villas de la Hacienda, Jal., Mexico",4.2,114,20.5330566,-103.3916691
"8","Way to burger","Av. Concepción 6820, Centro, 45654 Fraccionamiento Real del Valle, Jal., Mexico",4.2,50,20.5422367,-103.359652
"9","TajOHBurguer","Food Park, López Mateos sur km local 3, San José del Tajo, 45645 Jal., Mexico",4.1,804,20.5824225,-103.4485827
"10","Hamburguesas y Hotdogs Moncho suc. Tlajomulco","Independencia 37, 45640 Tlajomulco de Zúñiga, Jal., Mexico",4,26,20.4715396,-103.4505927
