"","name","formatted_address","rating","user_ratings_total","lat","lng"
"1","Barrio’s Burger","Av Río Nilo 7873-A, Loma Dorada Delegación B, 45402 Tonalá, Jal., Mexico",5,12,20.6298286,-103.2635384
"2","Burgers y Snacks Chuyin","Av. Rio de la Plata 277B, Camichines II, 45407 Tonalá, Jal., Mexico",4.8,51,20.6270737,-103.278684
"3","Burger Yin","Jalisco IV Secc, 45403 Tonalá, Jalisco, Mexico",4.8,33,20.6774364,-103.2579017
"4","BURGUER YIN","C. Hidalgo 90, Rancho de La Cruz, Coyula, 45410 Tonalá, Jal., Mexico",4.7,25,20.6510828,-103.2273445
"5","vente a las burger´s","C. Allende 274, Comolea, 45400 Tonalá, Jal., Mexico",4.6,267,20.6290842,-103.2351455
"6","Burger House","Priv. Tukán 340, Arcos de Zalatitan II, 45406 Tonalá, Jal., Mexico",4.5,69,20.659461,-103.2382316
"7","Hamburguesería 1972","Av Tonalá 64 D, Tonalá Centro, 45400 Tonalá, Jal., Mexico",4.5,51,20.6191619,-103.2457539
"8","Hamburguesas Las Minis","Lomas del Camichin, 45417 Tonalá, Jalisco, Mexico",4.4,52,20.6293246,-103.2751444
"9","Hamburguesas Al Carbon","Av Río Nilo 7328, Infonavit Río Nilo, 45418 Tonalá, Jal., Mexico",4.4,1412,20.6386788,-103.2755926
"10","Hamburguesas Adal's","Calle Cto Loma Sur 388B, Tonalá Centro, 45400 Tonalá, Jal., Mexico",4.3,23,20.6253857,-103.2514911
